"Qarku i Beratit, Albania"
"Arkhangelskaya, Russia"
"Astrakhanskaya Oblast’, Russia"
"Belgorodskaya Oblast’, Russia"
"Bryanskaya Oblast’, Russia"
"Chechnya, Russia"
"Chelyabinsk Oblast, Russia"
"Chukotskiy Avtonomnyy Okrug, Russia"
"Chuvashia, Russia"
"Dagestan, Russia"
"Irkutskaya Oblast’, Russia"
"Ivanovskaya Oblast’, Russia"
"Jewish Autonomous Oblast, Russia"
"Kabardino-Balkarskaya Respublika, Russia"
"Kaliningradskaya Oblast’, Russia"
"Kaluzhskaya Oblast’, Russia"
"Kamtchatski Kray, Russia"
"Karachayevo-Cherkesskaya Respublika, Russia"
"Kemerovskaya Oblast’, Russia"
"Khabarovsk Krai, Russia"
"Khanty-Mansiyskiy Avtonomnyy Okrug, Russia"
"Kirovskaya Oblast’, Russia"
"Kostromskaya Oblast’, Russia"
"Krasnodarskiy Kray, Russia"
"Krasnoyarskiy Kray, Russia"
"Kurganskaya Oblast’, Russia"
"Kurskaya Oblast’, Russia"
"Leningrad, Russia"
"Lipetskaya Oblast’, Russia"
"Magadanskaya Oblast’, Russia"
"Moscow, Russia"
"Moskovskaya, Russia"
"Murmansk, Russia"
"Nenetskiy Avtonomnyy Okrug, Russia"
"Nizhegorodskaya Oblast’, Russia"
"North Ossetia, Russia"
"Novgorodskaya Oblast’, Russia"
"Novosibirskaya Oblast’, Russia"
"Omskaya Oblast’, Russia"
"Orenburgskaya Oblast’, Russia"
"Orlovskaya Oblast’, Russia"
"Penzenskaya Oblast’, Russia"
"Perm Krai, Russia"
"Primorskiy Kray, Russia"
"Pskovskaya Oblast’, Russia"
"Respublika Adygeya, Russia"
"Respublika Altay, Russia"
"Respublika Bashkortostan, Russia"
"Respublika Buryatiya, Russia"
"Respublika Ingushetiya, Russia"
"Respublika Kalmykiya, Russia"
"Respublika Kareliya, Russia"
"Respublika Khakasiya, Russia"
"Respublika Komi, Russia"
"Respublika Mariy-El, Russia"
"Respublika Mordoviya, Russia"
"Respublika Sakha (Yakutiya), Russia"
"Respublika Tatarstan, Russia"
"Respublika Tyva, Russia"
"Rostovskaya Oblast’, Russia"
"Ryazanskaya Oblast’, Russia"
"Sakhalinskaya Oblast’, Russia"
"Samarskaya Oblast’, Russia"
"Sankt-Peterburg, Russia"
"Saratovskaya Oblast', Russia"
"Smolenskaya Oblast’, Russia"
"Stavropol’skiy Kray, Russia"
"Sverdlovskaya Oblast’, Russia"
"Tambovskaya Oblast', Russia"
"Tomskaya Oblast’, Russia"
"Tul'skaya Oblast', Russia"
"Tverskaya Oblast’, Russia"
"Tyumenskaya Oblast’, Russia"
"Udmurtskaya Respublika, Russia"
"Ul’yanovskaya Oblast’, Russia"
"Vladimirskaya Oblast’, Russia"
"Volgogradskaya Oblast’, Russia"
"Vologodskaya Oblast’, Russia"
"Voronezhskaya Oblast’, Russia"
"Yamalo-Nenetskiy Avtonomnyy Okrug, Russia"
"Yaroslavskaya Oblast’, Russia"
"Zabaykal’skiy Kray, Russia"
"Castello di Acquaviva, San Marino"
"Castello di Borgo Maggiore, San Marino"
"Castello di Domagnano, San Marino"
"Castello di Faetano, San Marino"
"Castello di Fiorentino, San Marino"
"Castello di Montegiardino, San Marino"
"Castello di San Marino Città, San Marino"
"Castello di Serravalle, San Marino"
"Chiesanuova, San Marino"
"Autonomna Pokrajina Vojvodina, Serbia"
"Central Serbia, Serbia"
"Banskobystrický Kraj, Slovakia"
"Bratislavský Kraj, Slovakia"
"Košický Kraj, Slovakia"
"Nitriansky Kraj, Slovakia"
"Prešovský Kraj, Slovakia"
"Tren?iansky Kraj, Slovakia"
"Trnavský Kraj, Slovakia"
"Žilinský Kraj, Slovakia"
"Bohinj, Slovenia"
"Comune di Isola, Slovenia"
"Comune di Pirano, Slovenia"
"Ljubljana, Slovenia"
"Mestna Ob?ina Celje, Slovenia"
"Mestna Ob?ina Koper, Slovenia"
"Mestna Ob?ina Kranj, Slovenia"
"Mestna Ob?ina Maribor, Slovenia"
"Mestna Ob?ina Murska Sobota, Slovenia"
"Mestna Ob?ina Nova Gorica, Slovenia"
"Mestna Ob?ina Novo mesto, Slovenia"
"Mestna Ob?ina Ptuj, Slovenia"
"Mestna Ob?ina Slovenj Gradec, Slovenia"
"Mestna Ob?ina Velenje, Slovenia"
"Ob?ina Ajdovš?ina, Slovenia"
"Ob?ina Apa?e, Slovenia"
"Ob?ina Beltinci, Slovenia"
"Ob?ina Benedikt, Slovenia"
"Ob?ina Bistrica ob Sotli, Slovenia"
"Ob?ina Bled, Slovenia"
"Ob?ina Bloke, Slovenia"
"Ob?ina Borovnica, Slovenia"
"Ob?ina Bovec, Slovenia"
"Ob?ina Braslov?e, Slovenia"
"Ob?ina Brda, Slovenia"
"Ob?ina Brezovica, Slovenia"
"Ob?ina Brežice, Slovenia"
"Ob?ina Cankova, Slovenia"
"Ob?ina Cerklje na Gorenjskem, Slovenia"
"Ob?ina Cerknica, Slovenia"
"Ob?ina Cerkno, Slovenia"
"Ob?ina Cerkvenjak, Slovenia"
"Ob?ina Cirkulane, Slovenia"
"Ob?ina Destrnik, Slovenia"
"Ob?ina Diva?a, Slovenia"
"Ob?ina Dobje, Slovenia"
"Ob?ina Dobrepolje, Slovenia"
"Ob?ina Dobrna, Slovenia"
"Ob?ina Dobrova-Polhov Gradec, Slovenia"
"Ob?ina Dobrovnik, Slovenia"
"Ob?ina Dol pri Ljubljani, Slovenia"
"Ob?ina Dolenjske Toplice, Slovenia"
"Ob?ina Domžale, Slovenia"
"Ob?ina Dornava, Slovenia"
"Ob?ina Dravograd, Slovenia"
"Ob?ina Duplek, Slovenia"
"Ob?ina Gorenja Vas-Poljane, Slovenia"
"Ob?ina Gorišnica, Slovenia"
"Ob?ina Gornja Radgona, Slovenia"
"Ob?ina Gornji Grad, Slovenia"
"Ob?ina Gornji Petrovci, Slovenia"
"Ob?ina Grad, Slovenia"
"Ob?ina Grosuplje, Slovenia"
"Ob?ina Hajdina, Slovenia"
"Ob?ina Hodoš, Slovenia"
"Ob?ina Horjul, Slovenia"
"Ob?ina Ho?e-Slivnica, Slovenia"
"Ob?ina Hrastnik, Slovenia"
"Ob?ina Hrpelje-Kozina, Slovenia"
"Ob?ina Idrija, Slovenia"
"Ob?ina Ig, Slovenia"
"Ob?ina Ilirska Bistrica, Slovenia"
"Ob?ina Ivan?na Gorica, Slovenia"
"Ob?ina Jesenice, Slovenia"
"Ob?ina Jezersko, Slovenia"
"Ob?ina Juršinci, Slovenia"
"Ob?ina Kamnik, Slovenia"
"Ob?ina Kanal, Slovenia"
"Ob?ina Kidri?evo, Slovenia"
"Ob?ina Kobarid, Slovenia"
"Ob?ina Kobilje, Slovenia"
"Ob?ina Komen, Slovenia"
"Ob?ina Komenda, Slovenia"
"Ob?ina Kostanjevica na Krki, Slovenia"
"Ob?ina Kostel, Slovenia"
"Ob?ina Kozje, Slovenia"
"Ob?ina Ko?evje, Slovenia"
"Ob?ina Kranjska Gora, Slovenia"
"Ob?ina Križevci, Slovenia"
"Ob?ina Krško, Slovenia"
"Ob?ina Kungota, Slovenia"
"Ob?ina Kuzma, Slovenia"
"Ob?ina Laško, Slovenia"
"Ob?ina Lenart, Slovenia"
"Ob?ina Lendava, Slovenia"
"Ob?ina Litija, Slovenia"
"Ob?ina Ljubno, Slovenia"
"Ob?ina Ljutomer, Slovenia"
"Ob?ina Log-Dragomer, Slovenia"
"Ob?ina Logatec, Slovenia"
"Ob?ina Lovrenc na Pohorju, Slovenia"
"Ob?ina Loška Dolina, Slovenia"
"Ob?ina Loški Potok, Slovenia"
"Ob?ina Lukovica, Slovenia"
"Ob?ina Lu?e, Slovenia"
"Ob?ina Majšperk, Slovenia"
"Ob?ina Makole, Slovenia"
"Ob?ina Markovci, Slovenia"
"Ob?ina Medvode, Slovenia"
"Ob?ina Mengeš, Slovenia"
"Ob?ina Metlika, Slovenia"
"Ob?ina Mežica, Slovenia"
"Ob?ina Miklavž na Dravskem Polju, Slovenia"
"Ob?ina Miren-Kostanjevica, Slovenia"
"Ob?ina Mirna Pe?, Slovenia"
"Ob?ina Mislinja, Slovenia"
"Ob?ina Mokronog-Trebelno, Slovenia"
"Ob?ina Moravske Toplice, Slovenia"
"Ob?ina Morav?e, Slovenia"
"Ob?ina Mozirje, Slovenia"
"Ob?ina Muta, Slovenia"
"Ob?ina Naklo, Slovenia"
"Ob?ina Nazarje, Slovenia"
"Ob?ina Odranci, Slovenia"
"Ob?ina Oplotnica, Slovenia"
"Ob?ina Ormož, Slovenia"
"Ob?ina Osilnica, Slovenia"
"Ob?ina Pesnica, Slovenia"
"Ob?ina Pivka, Slovenia"
"Ob?ina Podlehnik, Slovenia"
"Ob?ina Podvelka, Slovenia"
"Ob?ina Pod?etrtek, Slovenia"
"Ob?ina Polj?ane, Slovenia"
"Ob?ina Polzela, Slovenia"
"Ob?ina Postojna, Slovenia"
"Ob?ina Prebold, Slovenia"
"Ob?ina Preddvor, Slovenia"
"Ob?ina Prevalje, Slovenia"
"Ob?ina Puconci, Slovenia"
"Ob?ina Radenci, Slovenia"
"Ob?ina Rade?e, Slovenia"
"Ob?ina Radlje ob Dravi, Slovenia"
"Ob?ina Radovljica, Slovenia"
"Ob?ina Ravne na Koroškem, Slovenia"
"Ob?ina Razkrižje, Slovenia"
"Ob?ina Ra?e-Fram, Slovenia"
"Ob?ina Ribnica, Slovenia"
"Ob?ina Ribnica na Pohorju, Slovenia"
"Ob?ina Rogatec, Slovenia"
"Ob?ina Rogaška Slatina, Slovenia"
"Ob?ina Rogašovci, Slovenia"
"Ob?ina Ruše, Slovenia"
"Ob?ina Selnica ob Dravi, Slovenia"
"Ob?ina Semi?, Slovenia"
"Ob?ina Sevnica, Slovenia"
"Ob?ina Sežana, Slovenia"
"Ob?ina Slovenska Bistrica, Slovenia"
"Ob?ina Slovenske Konjice, Slovenia"
"Ob?ina Sodražica, Slovenia"
"Ob?ina Sol?ava, Slovenia"
"Ob?ina Starše, Slovenia"
"Ob?ina Sveta Ana, Slovenia"
"Ob?ina Sveti Andraž v Slovenskih Goricah, Slovenia"
"Ob?ina Sveti Jurij ob Š?avnici, Slovenia"
"Ob?ina Tabor, Slovenia"
"Ob?ina Tišina, Slovenia"
"Ob?ina Tolmin, Slovenia"
"Ob?ina Trbovlje, Slovenia"
"Ob?ina Trebnje, Slovenia"
"Ob?ina Trnovska vas, Slovenia"
"Ob?ina Trzin, Slovenia"
"Ob?ina Trži?, Slovenia"
"Ob?ina Turniš?e, Slovenia"
"Ob?ina Velika Polana, Slovenia"
"Ob?ina Velike Laš?e, Slovenia"
"Ob?ina Veržej, Slovenia"
"Ob?ina Videm, Slovenia"
"Ob?ina Vipava, Slovenia"
"Ob?ina Vitanje, Slovenia"
"Ob?ina Vodice, Slovenia"
"Ob?ina Vojnik, Slovenia"
"Ob?ina Vransko, Slovenia"
"Ob?ina Vrhnika, Slovenia"
"Ob?ina Vuzenica, Slovenia"
"Ob?ina Zagorje ob Savi, Slovenia"
"Ob?ina Zavr?, Slovenia"
"Ob?ina Zre?e, Slovenia"
"Ob?ina ?renšovci, Slovenia"
"Ob?ina ?rna na Koroškem, Slovenia"
"Ob?ina ?rnomelj, Slovenia"
"Ob?ina Šalovci, Slovenia"
"Ob?ina Šempeter-Vrtojba, Slovenia"
"Ob?ina Šentilj, Slovenia"
"Ob?ina Šentjernej, Slovenia"
"Ob?ina Šentjur, Slovenia"
"Ob?ina Šen?ur, Slovenia"
"Ob?ina Škocjan, Slovenia"
"Ob?ina Škofja Loka, Slovenia"
"Ob?ina Škofljica, Slovenia"
"Ob?ina Šmarje pri Jelšah, Slovenia"
"Ob?ina Šmartno ob Paki, Slovenia"
"Ob?ina Šmartno pri Litiji, Slovenia"
"Ob?ina Šoštanj, Slovenia"
"Ob?ina Štore, Slovenia"
"Ob?ina Žalec, Slovenia"
"Ob?ina Železniki, Slovenia"
"Ob?ina Žetale, Slovenia"
"Ob?ina Žiri, Slovenia"
"Ob?ina Žirovnica, Slovenia"
"Ob?ina Žužemberk, Slovenia"
"Andalusia, Spain"
"Aragon, Spain"
"Asturias, Spain"
"Autonomous Region of Navarre, Spain"
"Balearic Islands, Spain"
"Basque Country, Spain"
"Canary Islands, Spain"
"Cantabria, Spain"
"Castille and León, Spain"
"Castille-La Mancha, Spain"
"Catalonia, Spain"
"Ceuta, Spain"
"Extremadura, Spain"
"Galicia, Spain"
"La Rioja, Spain"
"Madrid, Spain"
"Melilla, Spain"
"Murcia, Spain"
"Valencia, Spain"
"Blekinge, Sweden"
"Dalarna, Sweden"
"Gotland, Sweden"
"Gävleborg, Sweden"
"Halland, Sweden"
"Jämtland, Sweden"
"Jönköping, Sweden"
"Kalmar, Sweden"
"Kronoberg, Sweden"
"Norrbotten, Sweden"
"Skåne, Sweden"
"Stockholm, Sweden"
"Södermanland, Sweden"
"Uppsala, Sweden"
"Värmland, Sweden"
"Västerbotten, Sweden"
"Västernorrland, Sweden"
"Västmanland, Sweden"
"Västra Götaland, Sweden"
"Örebro, Sweden"
"Östergötland, Sweden"
"Aargau, Switzerland"
"Appenzell Ausserrhoden, Switzerland"
"Basel-Country, Switzerland"
"Basle-Ville, Switzerland"
"Bern, Switzerland"
"Fribourg, Switzerland"
"Geneva, Switzerland"
"Glarus, Switzerland"
"Grisons, Switzerland"
"Jura, Switzerland"
"Kanton Appenzell Innerrhoden, Switzerland"
"Lucerne, Switzerland"
"Neuchâtel, Switzerland"
"Nidwalden, Switzerland"
"Obwalden, Switzerland"
"Saint Gallen, Switzerland"
"Schaffhausen, Switzerland"
"Schwyz, Switzerland"
"Solothurn, Switzerland"
"Thurgau, Switzerland"
"Ticino, Switzerland"
"Uri, Switzerland"
"Valais, Switzerland"
"Vaud, Switzerland"
"Zug, Switzerland"
"Zurich, Switzerland"
"Avtonomna Respublika Krym, Ukraine"
"Cherkas’ka Oblast’, Ukraine"
"Chernihivs’ka Oblast’, Ukraine"
"Chernivets’ka Oblast’, Ukraine"
"Dnipropetrovska Oblast', Ukraine"
"Donets’ka Oblast’, Ukraine"
"Ivano-Frankivs’ka Oblast’, Ukraine"
"Kharkivs’ka Oblast’, Ukraine"
"Kherson, Ukraine"
"Khmel’nyts’ka Oblast’, Ukraine"
"Kiev, Ukraine"
"Kirovohrads’ka Oblast’, Ukraine"
"Luhans’ka Oblast’, Ukraine"
"L’vivs’ka Oblast’, Ukraine"
"Misto Kyyiv, Ukraine"
"Misto Sevastopol’, Ukraine"
"Mykolayivs’ka Oblast’, Ukraine"
"Odessa, Ukraine"
"Poltava, Ukraine"
"Rivnens’ka Oblast’, Ukraine"
"Sumy, Ukraine"
"Ternopil’s’ka Oblast’, Ukraine"
"Vinnyts’ka Oblast’, Ukraine"
"Volyns’ka Oblast’, Ukraine"
"Zakarpats’ka Oblast’, Ukraine"
"Zaporiz’ka Oblast’, Ukraine"
"Zhytomyrs’ka Oblast’, Ukraine"
"England, United Kingdom"
"Guernsey (general), United Kingdom"
"Isle of Man, United Kingdom"
"Jersey (general), United Kingdom"
"N Ireland, United Kingdom"
"Scotland, United Kingdom"
"Wales, United Kingdom"
"Vatican, Vatican City"
"Brändö, Åland"
"Eckerö, Åland"
"Finström, Åland"
"Föglö, Åland"
"Geta, Åland"
"Hammarland, Åland"
"Jomala, Åland"
"Kumlinge, Åland"
"Kökar, Åland"
"Lemland, Åland"
"Lumparland, Åland"
"Mariehamn, Åland"
"Saltvik, Åland"
"Sottunga, Åland"
"Sund, Åland"
"Vårdö, Åland"
"Åland (general), Åland"
